time,driving_policy
19.440,A car is close ahead on the left. Slow down and keep safe distance.
19.480,A car is close ahead on the left. Slow down and keep safe distance.
19.520,A car is close ahead on the left. Slow down and keep safe distance.
19.560,A car is close ahead on the left. Slow down and keep safe distance.
19.600,A car is close ahead on the left. Slow down and keep safe distance.
19.640,A car is close ahead on the left. Slow down and keep safe distance.
19.680,A car is close ahead on the left. Slow down and keep safe distance.
19.720,A car is close ahead on the left. Slow down and keep safe distance.
19.760,A car is close ahead on the left. Slow down and keep safe distance.
19.800,A car is close ahead on the left. Slow down and keep safe distance.
19.840,A car is close ahead on the left. Slow down and keep safe distance.
19.880,A car is close ahead on the left. Slow down and keep safe distance.
19.920,A car is close ahead on the left. Slow down and keep safe distance.
19.960,A car is close ahead on the left. Slow down and keep safe distance.
20.000,A car is close ahead on the left. Slow down and keep safe distance.
20.040,A car is close ahead on the left. Slow down and keep safe distance.
20.080,A car is close ahead on the left. Slow down and keep safe distance.
20.120,A car is close ahead on the left. Slow down and keep safe distance.
20.160,A car is close ahead on the left. Slow down and keep safe distance.
20.200,A car is close ahead on the left. Slow down and keep safe distance.
20.240,A car is close ahead on the left. Slow down and keep safe distance.
20.280,A car is close ahead on the left. Slow down and keep safe distance.
20.320,A car is close ahead on the left. Slow down and keep safe distance.
20.360,A car is close ahead on the left. Slow down and keep safe distance.
20.400,A car is close ahead on the left. Slow down and keep safe distance.
20.440,A car is close ahead on the left. Slow down and keep safe distance.
20.480,A car is close ahead on the left. Slow down and keep safe distance.
20.520,A car is close ahead on the left. Slow down and keep safe distance.
20.560,A car is close ahead on the left. Slow down and keep safe distance.
20.600,A car is close ahead on the left. Slow down and keep safe distance.
20.640,A car is close ahead on the left. Slow down and keep safe distance.
20.680,A car is close ahead on the left. Slow down and keep safe distance.
20.720,A car is close ahead on the left. Slow down and keep safe distance.
20.760,A car is close ahead on the left. Slow down and keep safe distance.
20.800,A car is close ahead on the left. Slow down and keep safe distance.
20.840,A car is close ahead on the left. Slow down and keep safe distance.
20.880,A car is close ahead on the left. Slow down and keep safe distance.
20.920,A car is close ahead on the left. Slow down and keep safe distance.
20.960,A car is close ahead on the left. Slow down and keep safe distance.
21.000,A car is close ahead on the left. Slow down and keep safe distance.
21.040,A car is close ahead on the left. Slow down and keep safe distance.
21.080,A car is close ahead on the left. Slow down and keep safe distance.
21.120,A car is close ahead on the left. Slow down and keep safe distance.
21.160,A car is close ahead on the left. Slow down and keep safe distance.
21.200,A car is close ahead on the left. Slow down and keep safe distance.
21.240,A car is close ahead on the left. Slow down and keep safe distance.
21.280,A car is close ahead on the left. Slow down and keep safe distance.
21.320,A car is close ahead on the left. Slow down and keep safe distance.
21.360,A car is close ahead on the left. Slow down and keep safe distance.
21.400,A car is close ahead on the left. Slow down and keep safe distance.
21.440,A car is close ahead on the left. Slow down and keep safe distance.
21.480,A car is close ahead on the left. Slow down and keep safe distance.
21.520,A car is close ahead on the left. Slow down and keep safe distance.
21.560,A car is close ahead on the left. Slow down and keep safe distance.
21.600,A car is close ahead on the left. Slow down and keep safe distance.
21.640,A car is close ahead on the left. Slow down and keep safe distance.
21.680,A car is close ahead on the left. Slow down and keep safe distance.
21.720,A car is close ahead on the left. Slow down and keep safe distance.
21.760,A car is close ahead on the left. Slow down and keep safe distance.
21.800,A car is close ahead on the left. Slow down and keep safe distance.
21.840,A car is close ahead on the left. Slow down and keep safe distance.
21.880,A car is close ahead on the left. Slow down and keep safe distance.
21.920,A car is close ahead on the left. Slow down and keep safe distance.
21.960,A car is close ahead on the left. Slow down and keep safe distance.
22.000,A car is close ahead on the left. Slow down and keep safe distance.
22.040,A car is close ahead on the left. Slow down and keep safe distance.
22.080,A car is close ahead on the left. Slow down and keep safe distance.
22.120,A car is close ahead on the left. Slow down and keep safe distance.
22.160,A car is close ahead on the left. Slow down and keep safe distance.
22.200,A car is close ahead on the left. Slow down and keep safe distance.
22.240,A car is close ahead on the left. Slow down and keep safe distance.
22.280,A car is close ahead on the left. Slow down and keep safe distance.
22.320,A car is close ahead on the left. Slow down and keep safe distance.
22.360,A car is close ahead on the left. Slow down and keep safe distance.
22.400,A car is close ahead on the left. Slow down and keep safe distance.
22.440,A car is close ahead on the left. Slow down and keep safe distance.
22.480,A car is close ahead on the left. Slow down and keep safe distance.
22.520,A car is close ahead on the left. Slow down and keep safe distance.
22.560,A car is close ahead on the left. Slow down and keep safe distance.
22.600,A car is close ahead on the left. Slow down and keep safe distance.
22.640,A car is close ahead on the left. Slow down and keep safe distance.
22.680,A car is close ahead on the left. Slow down and keep safe distance.
22.720,A car is close ahead on the left. Slow down and keep safe distance.
22.760,A car is close ahead on the left. Slow down and keep safe distance.
22.800,A car is close ahead on the left. Slow down and keep safe distance.
22.840,A car is close ahead on the left. Slow down and keep safe distance.
22.880,A car is close ahead on the left. Slow down and keep safe distance.
22.920,A car is close ahead on the left. Slow down and keep safe distance.
22.960,A car is close ahead on the left. Slow down and keep safe distance.
23.000,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
23.040,A car is close ahead on the left. Slow down and keep safe distance.
23.080,A car is close ahead on the left. Slow down and keep safe distance.
23.120,A car is close ahead on the left. Slow down and keep safe distance.
23.160,A car is close ahead on the left. Slow down and keep safe distance.
23.200,A car is close ahead on the left. Slow down and keep safe distance.
23.240,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
23.280,A car is close ahead on the left. Slow down and keep safe distance.
23.320,A car is close ahead on the left. Slow down and keep safe distance.
23.360,A car is close ahead on the left. Slow down and keep safe distance.
23.400,A car is close ahead on the left. Slow down and keep safe distance.
23.440,A car is close ahead on the left. Slow down and keep safe distance.
23.480,A car is close ahead on the left. Slow down and keep safe distance.
23.520,A car is close ahead on the left. Slow down and keep safe distance.
23.560,A car is close ahead on the left. Slow down and keep safe distance.
23.600,A car is close ahead on the left. Slow down and keep safe distance.
23.640,A car is close ahead on the left. Slow down and keep safe distance.
23.680,A car is close ahead on the left. Slow down and keep safe distance.
23.720,A car is close ahead on the left. Slow down and keep safe distance.
23.760,A car is close ahead on the left. Slow down and keep safe distance.
23.800,A car is close ahead on the left. Slow down and keep safe distance.
23.840,A car is close ahead on the left. Slow down and keep safe distance.
23.880,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
23.920,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
23.960,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
24.000,A car is close ahead on the left. Slow down and keep safe distance.
24.040,A car is close ahead on the left. Slow down and keep safe distance.
24.080,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
24.120,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
24.160,A car is close ahead. Slow down and keep safe distance.
24.200,A car is close ahead. Slow down and keep safe distance.
24.240,A car is close ahead. Slow down and keep safe distance.
24.280,A car is close ahead. Slow down and keep safe distance.
24.320,A car is close ahead. Slow down and keep safe distance.
24.360,A car is close ahead. Slow down and keep safe distance.
24.400,A car is close ahead. Slow down and keep safe distance.
24.440,A car is close ahead. Slow down and keep safe distance.
24.480,A car is close ahead. Slow down and keep safe distance.
24.520,A car is close ahead. Slow down and keep safe distance.
24.560,A car is close ahead. Slow down and keep safe distance.
24.600,A car is close ahead. Slow down and keep safe distance.
24.640,A car is close ahead. Slow down and keep safe distance.
24.680,A car is close ahead. Slow down and keep safe distance.
24.720,A car is close ahead. Slow down and keep safe distance.
24.760,A car is close ahead. Slow down and keep safe distance.
24.800,A car is close ahead on the left. Slow down and keep safe distance.
24.840,A car is close ahead. Slow down and keep safe distance.
24.880,A car is close ahead. Slow down and keep safe distance.
24.920,A car is close ahead. Slow down and keep safe distance.
24.960,A car is close ahead. Slow down and keep safe distance.
25.000,A car is close ahead. Slow down and keep safe distance.
25.040,A car is close ahead. Slow down and keep safe distance.
25.080,A car is close ahead. Slow down and keep safe distance.
25.120,A car is close ahead. Slow down and keep safe distance.
25.160,A car is close ahead. Slow down and keep safe distance.
25.200,A car is close ahead. Slow down and keep safe distance.
25.240,A car is close ahead. Slow down and keep safe distance.
25.280,A car is close ahead. Slow down and keep safe distance.
25.320,A car is close ahead. Slow down and keep safe distance.
25.360,A car is close ahead. Slow down and keep safe distance.
25.400,A car is close ahead. Slow down and keep safe distance.
25.440,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
25.480,A car is close ahead on the left. Slow down and keep safe distance.
25.520,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
25.560,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
25.600,A car is close ahead on the left. Slow down and keep safe distance.
25.640,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
25.680,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
25.720,A car is close ahead on the left. Slow down and keep safe distance.
25.760,A car is close ahead. Slow down and keep safe distance.
25.800,A car is close ahead. Slow down and keep safe distance.
25.840,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
25.880,A car is close ahead. Slow down and keep safe distance.
25.920,A car is close ahead. Slow down and keep safe distance.
25.960,A car is close ahead. Slow down and keep safe distance.
26.000,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
26.040,A car is close ahead on the left. Slow down and keep safe distance.
26.080,A car is close ahead on the left. Slow down and keep safe distance.
26.120,A car is close ahead on the left. Slow down and keep safe distance.
26.160,A car is close ahead on the left. Slow down and keep safe distance.
26.200,A car is close ahead on the left. Slow down and keep safe distance.
26.240,A car is close ahead on the left. Slow down and keep safe distance.
26.280,A car is close ahead on the left. Slow down and keep safe distance.
26.320,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
26.360,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
26.400,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
26.440,A car is close ahead. Slow down and keep safe distance.
26.480,A car is close ahead. Slow down and keep safe distance.
26.520,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
26.560,A car is close ahead. Slow down and keep safe distance.
26.600,A car is close ahead. Slow down and keep safe distance.
26.640,A car is close ahead. Slow down and keep safe distance.
26.680,A car is close ahead. Slow down and keep safe distance.
26.720,A car is close ahead. Slow down and keep safe distance.
26.760,A car is close ahead. Slow down and keep safe distance.
26.800,A car is close ahead. Slow down and keep safe distance. (Moving to the left)
26.840,A car is close ahead. Slow down and keep safe distance.
26.880,A car is close ahead. Slow down and keep safe distance.
26.920,A car is close ahead. Slow down and keep safe distance.
26.960,A car is close ahead on the left. Slow down and keep safe distance.
27.000,A car is close ahead on the left. Slow down and keep safe distance.
27.040,A car is close ahead on the left. Slow down and keep safe distance.
27.080,A car is close ahead on the left. Slow down and keep safe distance.
27.120,A car is close ahead on the left. Slow down and keep safe distance.
27.160,A car is close ahead. Slow down and keep safe distance.
27.200,A car is close ahead. Slow down and keep safe distance.
27.240,A car is close ahead. Slow down and keep safe distance.
27.280,A car is close ahead. Slow down and keep safe distance.
27.320,A car is close ahead. Slow down and keep safe distance.
27.360,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
27.400,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
27.440,A car is close ahead. Slow down and keep safe distance. (Moving to the left)
27.480,A car is close ahead. Slow down and keep safe distance.
27.520,A car is close ahead. Slow down and keep safe distance.
27.560,A car is close ahead. Slow down and keep safe distance.
27.600,A car is close ahead. Slow down and keep safe distance.
27.640,A car is close ahead. Slow down and keep safe distance.
27.680,A car is close ahead on the left. Slow down and keep safe distance.
27.720,A car is close ahead on the left. Slow down and keep safe distance.
27.760,A car is close ahead on the left. Slow down and keep safe distance.
27.800,A car is close ahead. Slow down and keep safe distance.
27.840,A car is close ahead. Slow down and keep safe distance.
27.880,A car is close ahead. Slow down and keep safe distance.
27.920,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
27.960,A car is close ahead. Slow down and keep safe distance.
28.000,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
28.040,A car is close ahead. Slow down and keep safe distance. (Moving to the left)
28.080,A car is close ahead. Slow down and keep safe distance.
28.120,A car is close ahead. Slow down and keep safe distance.
28.160,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
28.200,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
28.240,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
28.280,A car is close ahead. Slow down and keep safe distance.
28.320,A car is close ahead. Slow down and keep safe distance.
28.360,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
28.400,A car is close ahead on the left. Slow down and keep safe distance.
28.440,A car is close ahead on the left. Slow down and keep safe distance.
28.480,A car is close ahead on the left. Slow down and keep safe distance.
28.520,A car is close ahead on the left. Slow down and keep safe distance.
28.560,A car is close ahead on the left. Slow down and keep safe distance.
28.600,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
28.640,A car is close ahead. Slow down and keep safe distance.
28.680,A car is close ahead. Slow down and keep safe distance.
28.720,A car is close ahead. Slow down and keep safe distance.
28.760,A car is close ahead. Slow down and keep safe distance.
28.800,A car is close ahead on the left. Slow down and keep safe distance.
28.840,A car is close ahead on the left. Slow down and keep safe distance.
28.880,A car is close ahead on the left. Slow down and keep safe distance.
28.920,A car is close ahead on the left. Slow down and keep safe distance.
28.960,A car is close ahead on the left. Slow down and keep safe distance.
29.000,A car is close ahead on the left. Slow down and keep safe distance.
29.040,A car is close ahead on the left. Slow down and keep safe distance.
29.080,A car is close ahead on the left. Slow down and keep safe distance.
29.120,A car is close ahead on the left. Slow down and keep safe distance.
29.160,A car is close ahead on the left. Slow down and keep safe distance.
29.200,A car is close ahead on the left. Slow down and keep safe distance.
29.240,A car is close ahead on the left. Slow down and keep safe distance.
29.280,A car is close ahead on the left. Slow down and keep safe distance.
29.320,A car is close ahead on the left. Slow down and keep safe distance.
29.360,A car is close ahead on the left. Slow down and keep safe distance.
29.400,A car is close ahead. Slow down and keep safe distance.
29.440,A car is close ahead on the left. Slow down and keep safe distance.
29.480,A car is close ahead. Slow down and keep safe distance.
29.520,A car is close ahead on the left. Slow down and keep safe distance.
29.560,A car is close ahead on the left. Slow down and keep safe distance.
29.600,A car is close ahead on the left. Slow down and keep safe distance.
29.640,A car is close ahead on the left. Slow down and keep safe distance.
29.680,A car is close ahead on the left. Slow down and keep safe distance.
29.720,A car is close ahead on the left. Slow down and keep safe distance.
29.760,A car is close ahead on the left. Slow down and keep safe distance.
29.800,A car is close ahead on the left. Slow down and keep safe distance.
29.840,A car is close ahead on the left. Slow down and keep safe distance.
29.880,A car is close ahead. Slow down and keep safe distance.
29.920,A car is close ahead. Slow down and keep safe distance.
29.960,A car is close ahead on the left. Slow down and keep safe distance.
30.000,A car is close ahead on the left. Slow down and keep safe distance.
30.040,A car is close ahead on the left. Slow down and keep safe distance.
30.080,A car is close ahead on the left. Slow down and keep safe distance.
30.120,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
30.160,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
30.200,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
30.240,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
30.280,A car is close ahead. Slow down and keep safe distance.
30.320,A car is close ahead on the left. Slow down and keep safe distance.
30.360,A car is close ahead. Slow down and keep safe distance.
30.400,A car is close ahead on the left. Slow down and keep safe distance.
30.440,A car is close ahead on the left. Slow down and keep safe distance.
30.480,A car is close ahead on the left. Slow down and keep safe distance.
30.520,A car is close ahead on the left. Slow down and keep safe distance.
30.560,A car is close ahead on the left. Slow down and keep safe distance.
30.600,A car is close ahead. Slow down and keep safe distance.
30.640,A car is close ahead. Slow down and keep safe distance.
30.680,A car is close ahead on the left. Slow down and keep safe distance.
30.720,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
30.760,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
30.800,A car is close ahead on the left. Slow down and keep safe distance.
30.840,A car is close ahead on the left. Slow down and keep safe distance.
30.880,A car is close ahead on the left. Slow down and keep safe distance.
30.920,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
30.960,A car is close ahead. Slow down and keep safe distance.
31.000,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
31.040,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
31.080,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
31.120,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
31.160,A car is close ahead on the left. Slow down and keep safe distance.
31.200,A car is close ahead on the left. Slow down and keep safe distance.
31.240,A car is close ahead on the left. Slow down and keep safe distance.
31.280,A car is close ahead on the left. Slow down and keep safe distance.
31.320,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
31.360,A car is close ahead. Slow down and keep safe distance.
31.400,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
31.440,A car is close ahead. Slow down and keep safe distance.
31.480,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
31.520,A car is close ahead on the left. Slow down and keep safe distance.
31.560,A car is close ahead on the left. Slow down and keep safe distance.
31.600,A car is close ahead on the left. Slow down and keep safe distance.
31.640,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
31.680,A car is close ahead. Slow down and keep safe distance.
31.720,A car is close ahead. Slow down and keep safe distance. (Moving to the left)
31.760,A car is close ahead. Slow down and keep safe distance.
31.800,A car is close ahead on the left. Slow down and keep safe distance.
31.840,A car is close ahead on the left. Slow down and keep safe distance.
31.880,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
31.920,A car is close ahead. Slow down and keep safe distance. (Moving to the left)
31.960,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
32.000,A car is close ahead on the left. Slow down and keep safe distance.
32.040,A car is close ahead on the left. Slow down and keep safe distance.
32.080,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
32.120,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
32.160,A car is close ahead on the left. Slow down and keep safe distance.
32.200,A car is close ahead on the left. Slow down and keep safe distance.
32.240,A car is close ahead on the left. Slow down and keep safe distance.
